district,address,description,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
mitte,"Monbijoustraße 3/5, Mitte (Ortsteil), Berlin",Leben in der Residenz Monbijou - herrschaftliches Penthouse am Weltkulturerbe!,11574.0,375.0,8.0,1,1,1,0,0,0,0,0
mitte,"Rungestraße 3-6, Mitte (Ortsteil), Berlin",Stilvoll möbliert - großzügiges Loft im denkmalgeschützen Metropolpark!,3950.0,128.0,2.0,1,1,1,0,0,0,0,0
schöneberg,"Schöneberg, Berlin",Gemütliche Dachgeschosswohnung nahe KaDeWe,2895.0,110.0,3.0,1,1,0,0,0,0,0,0
friedrichshain,"Mühlenstraße 20, Friedrichshain, Berlin",Vollmöbliert - attraktives Wohnerlebnis an der East Side Gallery!,1950.0,56.0,2.0,1,1,1,0,0,0,0,0
mitte,"Schwartzkopffstraße 1A, Mitte (Ortsteil), Berlin",Sapphire by Libeskind – Wohnen im Architekturunikat Berlins!,2650.0,81.0,3.0,1,1,0,1,0,0,0,0
prenzlauer berg,"Kopenhagener Str. 67, Prenzlauer Berg, Berlin",Attraktives Wohnen im Gleimviertel!,2700.0,86.0,4.0,1,1,1,0,0,0,0,0
niederschönhausen,"Treskowstraße 19, Niederschönhausen, Berlin",Vollmöbliert und löffelfertig: attraktives Apartment mit Garten und Terrasse!,3620.0,144.0,3.0,1,1,1,0,0,0,0,0
friedrichshain,"Kadiner Str. 15, Friedrichshain, Berlin",Erstvermietung nach umfassender Modernisierung - modernes Apartment nahe Boxhagener Platz!,1944.0,74.0,2.0,1,1,0,1,0,0,0,0
schöneberg,"Schöneberg, Berlin",Frankenstr. Nahe Winterfeldplatz: 3-Zi-DG-Whg mit EBK Terrasse u. Aufzug,3323.52,103.86,3.0,1,1,1,0,0,0,0,0
charlottenburg,"Charlottenburg, Berlin",Lichtdurchflutetes Dachgeschoss mit Aufdachterrasse,3730.0,180.0,3.5,1,1,1,0,0,0,0,0
wedding,"Lindower Straße 3.1.1 18, Wedding, Berlin",Beeindruckendes Designer-Loft mit luxuriöser Ausstattung!,8790.0,190.0,3.0,1,1,1,0,0,0,0,0
wedding,"Lindower Straße 5.5.1 18, Wedding, Berlin",Stadtflucht: High-End Loft mit erstklassigem Interieur und Dachterrasse!,5800.0,122.0,2.0,0,1,1,0,0,0,1,0
charlottenburg,"Charlottenburg, Berlin",Residieren auf höchstem Niveau - vollmöbliertes Altbauhighlight,6950.0,253.0,7.0,0,1,0,0,0,0,1,0
mitte,"Am Zirkus  3a, Mitte (Ortsteil), Berlin",*Außergewöhnliche Dachgeschoss-Maisonette mit Loft-Charakter nahe Friedrichstadtpalast*,4310.0,146.0,3.0,1,1,0,0,1,0,0,0
halensee,"Halensee, Berlin",Traumhafte Dachgeschossmaisonette Wohnung  in bester City-Lage,3970.0,140.0,5.0,1,1,1,0,0,0,0,0
mitte,"Linienstraße 32, Mitte (Ortsteil), Berlin",Vollmöbliert - edle Residenz im historischen Scheunenviertel!,4173.0,110.0,3.0,1,1,1,0,0,0,0,0
mitte,"Oberwallstraße 13, Mitte (Ortsteil), Berlin",Berlin im Blick - einzigartiges Townhouse im Herzen Berlins!,16284.0,456.0,4.0,1,1,0,0,0,0,1,0
prenzlauer berg,"Prenzlauer Berg, Berlin",Traumhaftes Wohnen für Familien mit großem Garten und Terrasse!,5600.0,280.0,7.0,1,1,1,0,0,0,0,0
hermsdorf,"Hermsdorf, Berlin",Penthouse über den Dächern von Hermsdorf,3172.0,233.0,3.0,1,1,1,0,0,0,0,0
charlottenburg,"Charlottenburg, Berlin","Exklusiver Erstbezug im ""fiftysix""",2800.0,76.0,2.5,1,0,1,1,0,0,0,0
charlottenburg,"Charlottenburg, Berlin",Erstbezug: Spektakuläres Penthouse in City-Lage,12450.0,321.0,5.0,1,1,1,0,0,0,0,0
schmargendorf,"Schmargendorf, Berlin",Möblierte Luxuswohnung im Herzen von Grunewald,11500.0,197.0,4.0,1,1,0,1,0,0,0,0
wedding,"Lindower Straße 5.2.2 18, Wedding, Berlin",Luxuriöses Loft mit mondäner Ausstattung und beeindruckenden Ausblicken - Erstbezug!,4000.0,73.0,2.0,0,1,1,0,1,0,0,0
adlershof,"Rudower Chaussee 5a-c, Adlershof, Berlin",***Möbliertes Premium Appartement mit Highlights im modernen Berlin-Adlershof***,556.0,22.73,1.0,0,1,0,0,1,0,0,0
mitte,"Mitte (Ortsteil), Berlin","Luxuriöse Penthouse-Maisonettewohnung mit Kamin, Sauna und fantastischem Weitblick",6720.0,228.0,6.0,1,1,1,0,0,0,0,0
buckow,"Parksiedlung Spruch 3 bis 137, Buckow, Berlin","Geräumige helle 2-Raumwohnung mit Wintergarten, EBK, Tiefgarage in parkähnlicher Wohnanlage",1014.19,63.87,2.0,1,1,1,0,0,0,0,0
alt-hohenschönhausen,"Arendsweg 44, Alt-Hohenschönhausen, Berlin","Am schönsten ist es hier - bei uns zu Hause - Wohngebiet ""Weiße Taube""",1107.57,67.89,2.0,1,1,1,0,0,0,0,0
wilhelmstadt,"Brüderstraße 16, Wilhelmstadt, Berlin",Handwerkerobjekt! Renovierungsbedürftiges Apartment im Erdgeschoss!,382.79,38.97,1.0,0,0,0,0,0,0,0,0
mitte,"Hirtenstraße 16, Mitte (Ortsteil), Berlin",2-Zimmer-Hochparterre-Wohnung in Berlin Mitte,1396.0,55.0,2.0,0,1,0,0,0,0,0,0
weißensee,"Roelckestraße 25, Weißensee, Berlin",Geschmackvolle 4-Raum-Wohnung mit Terrasse und Balkon und Einbauküche in Berlin,2000.0,105.0,4.0,1,1,1,0,0,0,0,0
charlottenburg,"Charlottenburg, Berlin",*Nur für Studenten* Möbliertes Apartment in Berlin Charlottenburg,680.0,25.0,1.0,0,1,0,0,0,0,0,0
wilmersdorf,"Wilmersdorf, Berlin",Schöne 2-Zimmer-Wohnung mit Balkon und EBK in Kudammm-Nähe,764.0,65.0,2.0,1,1,1,0,0,0,0,0
wedding,"Türkenstr. 14, Wedding, Berlin","Schöne, geräumige ein Zimmer Wohnung in Berlin, Wedding",575.0,49.0,1.5,0,1,1,0,0,0,0,0
köpenick,"SCHÖNERLINDERSTR. 13, Köpenick, Berlin","Exklusive, sanierte 2-Zimmer-Erdgeschosswohnung mit EBK in Berlin",890.0,55.0,2.0,0,1,1,1,0,0,0,0
friedrichshain,"Fredersdorferstr. 11, Friedrichshain, Berlin",Sanierte Altbau 1-Zimmer-Wohnung mit EBK,970.0,36.0,1.0,0,1,1,0,0,0,0,0
spandau,"Falkenhagener Str. 12, Spandau (Ortsteil), Berlin",schöne helle Wohnung mit drei Zimmern sowie Balkon und Einbauküche in Berlin Spandau,1095.0,76.0,3.0,1,1,1,0,0,0,0,0
